公司,父记录,招聘岗位,学历要求,是否笔试,专业要求,备注,工作地点,招聘届次,更新时间,企业类型,公告来源,开始时间,行业类别,截止时间,批次（暑期实习）,父记录 2,公告链接,是否笔试 (1),简历投递链接
平安产险科技中心,,"算法类,工程研发类,运维开发类","本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,全国,2026届 | 2025届,2026-03-18,民企,,2026-03-18,银行/金融,招满为止,春招,,http://mp.weixin.qq.com/s?__biz=MzI0MDkzOTc2MQ==&mid=2247493871&idx=1&sn=dc080044adb8493ac231b4a83f0687cd&chksm=e9118f71de660667e9e343a0eea5fc1c5bf733159b8c07578a6a3a51ff710776d545152ed67d#rd,,http://campus.pingan.com/paccbxkjzx
国家发展和改革委员会直属单位,,"研究岗,管理岗,项目评审岗,技术岗","本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京,2026届,2026-03-18,事业单位,,2026-03-18,事业单位,2026/3/30,春招,,https://www.mohrss.gov.cn/SYrlzyhshbzb/fwyd/SYkaoshizhaopin/zyhgjjgsydwgkzp/gxbyszpzl/202603/t20260316_568540.html,,https://www.sydwgkzp.cn/fgw/index.html#/home
吉江环保,,金融投资类财务资金类法务类综合管理;,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,重庆,2026届,2026-03-21,央国企,,2026-03-21,节能环保/资源回收,招满为止,春招,,https://mp.weixin.qq.com/s/B-mwUGaGhvXPx__wZ4ZUyg?scene=1,,https://mp.weixin.qq.com/s/B-mwUGaGhvXPx__wZ4ZUyg?scene=1
贵阳银行,,管理培训生岗，金融科技生岗，分支行业务管理岗，分支行前台操作岗（相关专业：经济学，理学，工学，法学，管理学，计算机类，统计学类，数学类，电气工程及其自动化，电子信息工程，电子科学与技术，通信工程，人工......,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,龙泉 | 成都 | 都江堰 | 贵阳 | 清镇 | 六盘水 | 遵义 | 安顺 | 毕节 | 黔西 | 铜仁 | 黔东南 | 苗族侗族自治州 | 黔南 | 布依......,2026届 | 2025届,2026-03-22,银行,,2026-03-22,银行/金融,2026/3/29,春招,,https://mp.weixin.qq.com/s/jDm6l5LDpy71vrCC_kBF_A,,http://ideal.51job.com/gyyh2026cz
中粮家佳康（吉林）有限公司,,临床兽医；育种科研员；饲料品控管培生；放养管控培生；养殖管培生；兽医管培生；饲料生产管培生,"本科, 硕士, 博士",/,临床兽医：基础兽医学、临床兽医学、预防兽医学、兽医、动物药学相关专业；育种科研员：畜牧、动物遗传育种与繁殖相关专业；饲料品控管培生：动物营养与饲料科学、食品科学与工程、食品质量与安全相关专业；放养管控培生：动物医学、动物药学、野生动物与自然保护区管理专业相关专业；养殖管培生：动物医学、动物科学、动物药学、野生动物与自然保护区管理专业相关专业；兽医管培生：动物医学、动物科学、动物药学、野生动物与自然保护区管理专业相关专业；饲料生产管培生：动物营养与饲料科学、食品科学与工程、食品质量与安全相关专业,/,吉林 | 松原,2026届,2026-02-03,央国企,,,农林牧渔,尽快投递,春招专场,,https://www.offerleida.com/detail?id=35444,,https://mp.weixin.qq.com/s/hyVhWlhXSsAX15CHJQXkyA
玖龙纸业,,纸业公司(生产岗 设备岗工艺技术岗热力岗 环保水处理岗 销售岗 职能部门岗)包装公司(包装生产/工艺岗包装销售岗),"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,广东东莞江苏太仓天津重庆福建泉州四川乐山河北唐山辽宁沈阳湖北荆州广西北海 四川成都江苏镇江,2026届,2026-03-02,民企,,2026-03-02,造纸/纸制品,招满为止,春招,,公告,,投递
中冶南方工程技术有限公司,,电气工程、自动化、控制科学与工程等 材料加工工程(轧钢)、机械工程(含液压方向)、热能工程、新能源工程、化学工程等,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,武汉,2026届,2026-03-04,央国企,,2026-03-04,国企,招满为止,春招,,公告,,投递
全芯微,,"机械工程师,软件工程师,电气工程师,自动化工程师,工艺工程师,AI软件工程师,标准化工程师,图像算法工程师,销售管培生,调试工程师,客服工程师,装配技师","本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,宁波,2026届,2026-03-05,民企,,2026-03-05,科技,招满为止,春招,,公告,,投递
星际荣耀,,下属各单位岗位，具体见官方公告及投递方式链接,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,北京成都西安海南文昌四川绵阳什邡深圳,2026届,2026-03-06,民企,,2026-03-06,高端装备与国防科技/抗空航天,2026/5/31,春招,,公告,,投递
华勤技术,,软件类硬件类算法类测试类工程技术类结构类IT类 平台类大运营类职能类,"本科, 硕士, 博士",免笔试（部分岗位）,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,上海 | 南昌 | 东莞 | 无锡 | 西安,2027届,2026-03-22,民企,,2026-03-22,电子/半导体,招满为止,实习,,https://mp.weixin.qq.com/s/iA0qg6Ph67npYl-bBPgEpg,,https://app.mokahr.com/campus-recruitment/hq/45417?sessionid=#/jobs
华润五丰,,销售类 研发类 运营类 职能类,"本科, 硕士, 博士",/,/,1. 提前网申并及时完成线上测评有更大机率进入后续面试环节。2. 最多可以投递3个岗位，第一志愿优先。第一志愿淘汰后自动开启第二志愿，依次类推。建议同学结合个人兴趣及专业合理投递。3. 投递简历后，不可调整志愿，请同学们在投递前认真选择。,上海 | 深圳 | 赣州 | 香港,2026届,2026-01-05,央国企,,,农林牧渔,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34701,,https://nfh.hotjob.cn/
中国贸促会直属单位,,招聘高校毕业生的岗位共8个，计划招聘9人，具体岗位及资格条件详见《中国贸促会直属单位2026年度公开招聘高校毕业生岗位信息表》（附件1）,"本科, 硕士, 博士",有笔试,/,提交材料真实准确；保持通讯畅通；确定退出或被录用及时沟通,北京,2026届,2026-01-31,事业单位,,,政府/机构/组织,2026-02-13,春招专场,,https://www.offerleida.com/detail?id=35369,,https://www.mohrss.gov.cn/SYrlzyhshbzb/fwyd/SYkaoshizhaopin/zyhgjjgsydwgkzp/zpgg/202601/t20260130_566390.html
中国移动咪咕,,"研发类,产品类,运营类,内容类,市场类,职能类","本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京 | 上海 | 杭州 | 深圳 | 成都,2026届,2026-03-18,央国企,,2026-03-18,互联网 | 国企,招满为止,春招,,https://mp.weixin.qq.com/s/P8KdL8hKJpOPb-jN-QutUQ,,https://job.10086.cn/personal/campus/campus_job_list.html?cId=85
新疆玛纳斯发电有限责任公司,,集控运行值班员（负责火力发电机组集控运行中的监控、调整、操作及日常巡检等）,"本科, 硕士, 博士",有笔试,能源与动力、电气工程及其自动化等专业,/,吉林 | 昌吉回族自治州,2026届,2026-01-04,央国企,,,能源/化工/环保,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34615,,投递邮箱： | 2911202414@qq.com
泰昆集团,,技术服务类（营养师/转化技术员、养殖端兽医员、养殖技服、养殖育肥技术员（长沙泰昆）），生产管理类（福生猪化总经理、饲料生产主管、饲料生产电工/机修、饲料品管/抽样、禽肉生产设备主任（长沙泰昆）、禽肉生产岗），营销类（饲料销售岗、禽肉销售岗、饲料销售（长沙泰昆）），职能支持类（财务会计）,"本科, 硕士, 博士",/,/,/,全国多地,2026届,2026-01-23,民企,,,农林牧渔,尽快投递,秋招补招,,https://www.offerleida.com/detail?id=35197,,https://mp.weixin.qq.com/s/2I7zD7lkGDYUJ9weXMZV0A
振为科技,,研发助理工程师结构工程师机械工程师 设计质量工程师设计质量工程师;,"本科, 硕士, 博士",有笔试,/,/,厦门,2026届,2026-03-07,民企,,2026-03-07,机械装备/电气系统,招满为止,春招,,公告,,投递
中国人寿集团,,"管理培训生类,营销管理类,金融科技类,法律与风险管理类,运营管理类,财务管理类,营销与服务类,客户服务类,医疗健康类,人力资源与综合行政类","本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,全国,2026届,2026-03-17,央国企,,2026-03-17,国企 | 银行/金融,2026/4/20,春招,,https://mp.weixin.qq.com/s/YRLx0XpU8BrqF879lcSMpw,,https://chinalife.zhiye.com/custom/index?&hideMenu=1
贵州茅台集团,,能源利用研究科研岗、防伪技术研究科研岗、律师、不动产资源管理岗、酒体设计师、酿造作物研究科研岗、酿造机理研究科研岗、酿造工艺及装备研究科研岗、食品风味与安全研究科研岗、环境监查管理员、信息化项目管理员......,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,上海 | 贵阳 | 遵义 | 仁怀 | 全国,2026届,2026-03-22,央国企,,2026-03-22,国企,2026/6/30,春招,,http://mp.weixin.qq.com/s?__biz=MzAxOTI2Mzg4MA==&mid=2651964389&idx=3&sn=be69dafd806adfc3667c1717a3f45de3&chksm=802cdb02b75b52141a0fcac4d6b5e0f777d710ffa6a0d562ad46ff1c1874684e7406a62a7865#rd,,https://mtxz2026.zhaopin.com/
海成科技,,软件研发、JAVA开发、大客户代表（相关专业：计算机、算法类、人工智能、理工专业）,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,成都,2026届,2026-02-27,民企,,2026-02-27,互联网,招满为止,春招,,公告,,投递
新东方华南区,,少儿素养班课/个性化教师 初中学习机素养班课教师高中素养班课教师高中素养个性化教师,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,广州佛山东莞珠海南宁海口,2026届,2026-02-28,民企,,2026-02-28,教育培训/在线教育,招满为止,春招,,公告,,投递
深圳环境水务集团,,管网技术岗 工艺管理岗设备管理岗技术支持岗文字秘书岗,"本科, 硕士, 博士",无笔试,/,/,深圳,2026届,2026-03-08,央国企,,2026-03-08,节能环保/资源回收,招满为止,春招,,公告,,投递
欣旺达,,发类运营类职能类营销类,"本科, 硕士, 博士",部分岗位有笔试部分没有,/,/,广东深圳广东惠州广东茂名浙江金华江苏南京江西南昌江西赣州山东枣庄四川德阳湖北宜昌陕西西安辽宁大连重庆......,2026届,2026-03-09,民企,,2026-03-09,能源/电力,招满为止,春招,,公告,,投递
宝钢湛江钢铁有限公司,,专业：钢铁冶金、冶金工程、低碳冶金、矿物加工工程、金属材料成型及控制工程、金属压力加工、机械设计制造及其自动化、机械工程、机械电子工程、电气工程及其自动化（弱电方向）、控制科学与工程、自动化、测控技术......,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,湛江,2026届,2026-03-11,央国企,,2026-03-11,其他,招满为止,春招,,公告,,投递
现代出版社,,财务部实习生,"本科, 硕士, 博士",/,会计、审计、财务管理、税务,/,北京,2026 | 2027届,2026-01-22,央国企,,,文化/传媒/广告/体育,尽快投递,寒假实习,,https://www.offerleida.com/detail?id=35148,,投递邮箱： | xdcbs2016@163.com
启辰科技,,后端工程师;前端工程师;算法工程师;教育测量研究员;学科命题研究助理;试题量化研究员;入校技术服务助理,"本科, 硕士, 博士",有笔试,/,/,广州,2026届,2026-01-23,民企,,,IT/互联网/游戏,尽快投递,实习 | 寒假实习,,https://www.offerleida.com/detail?id=35199,,https://mp.weixin.qq.com/s/iD0eqTHhYl-OmT6P_3Vrpg
烽火通信,,"芯片研发,软件研发,硬件研发,解决方案,产品测试,技术支持,智能制造,博士专区","本科, 硕士, 博士",有笔试,/,/,南京 | 武汉 | 珠海 | 成都 | 西安 | 海外,2026届 | 海外往届,2026-03-04,央国企,,2026-03-04,国企,招满为止,春招,,公告,,投递
星能玄光,,电子/硬件工程师 真空系统工程师 微波工程师 电源工程师 仿真工程师实验室科研助理等离子体实验/诊断研究员加速器工程师 实习生,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,合肥,2026届,2026-03-07,民企,,2026-03-07,能源/电力,招满为止,实习 | 春招,,公告,,投递
安捷利美维,,工程技术类(工艺工程产品工程项目开发计划管理生产管理客户服务)专业技术类(设备维修厂房工程信息科技研发销售财务),"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,厦门上海苏州 福州广州香港泰国,2026届,2026-03-06,民企,,2026-03-06,电子/半导体,招满为止,春招,,公告,,投递
特步集团,,"产品类,品牌类,技术类,电商类,销售管理类,供应链 & 生产类,职能类","本科, 硕士, 博士",部分岗位有笔试部分没有,/,/,北京 | 天津 | 沈阳 | 长春 | 哈尔滨 | 上海 | 南京 | 温州 | 合肥 | 蚌埠 | 厦门 | 泉州 | 南昌 | 济南 | 武汉 | 长沙 | 深......,2026届,2026-03-12,民企,,2026-03-12,消费,招满为止,春招,,公告,,投递
北京高顿,,课程顾问 市场运营学习管理师 新媒体流量项目运营,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京,2026届,2026-03-20,民企,,2026-03-19,教育培训/在线教育,招满为止,春招,,https://mp.weixin.qq.com/s/DaLU6lJ0X22I9kGrOqMXfw,,https://mp.weixin.qq.com/s/DaLU6lJ0X22I9kGrOqMXfw
环球技服,,技术方向 市场方向 项目管理 采购方向 财务方向 数字化方向；,"本科, 硕士, 博士",/,/,/,北京,2026届,2026-01-04,央国企,,,医疗/医药/生物,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34653,,https://genertec.zhiye.com/custom/7a34f1fa-99fc-d287-e761-c9dc230e5baa?queryId=3d60b886-669c-423e-a538-81a23fc33574
正力新能,,研发类；制造运营类；工程管理类；业务管理类；职能管理类,"本科, 硕士, 博士",/,/,/,苏州,2026届,2026-01-20,民企,,,通信/电子/半导体,尽快投递,春招专场,,https://www.offerleida.com/detail?id=35104,,https://mp.weixin.qq.com/s/krZUarGec0fdkDcztEllqw
它石智航,,应届生职位：机器人强化学习算法工程师 机器人感知算法工程师 机器人运动控制算法工程师 具身VLA算法工程师 机器人SLAM算法工程师 具身智能算法专家(TARS-STAR)机器人端到端算法工程师机器人嵌入式开发工程师机器人软件开发工程师机器人机械设计工程师机器人电子硬件工程师实习生职位：机器人运控强化学习算法实习生具身VLA算法实习生机器人感知算法实习生机器人机械设计实习生机器人电子硬件实习生嵌入式开发实习生UX设计实习生工业设计实习生招聘及雇主品牌实习生财务采购实习生,"本科, 硕士, 博士",有笔试,/,/,上海,2026届,2026-02-27,民企,,2026-02-27,智能硬件/机器人,招满为止,春招,,公告,,投递
